Address,Amt per m²,Balcony,District,Elevator,Floor,Location,Monthly Pay,Municipality,Patio,Price,Size in m²,Total Rooms,Latitude,Longitude,lat_2,long_2,Distance
Idunslingan 29,46600.0,True,Skälby,True,4.0,"Skälby,Järfälla",4139.0,Järfälla kommun,False,3495000,75.0,3.0,59.4024151,17.8379725,59.3324,18.0645,15.011110233317533
Knypplerskevägen 12,53571.42857142857,False,Bromma,False,2.0,"Bromma,Stockholm",3937.0,Stockholms kommun,False,2250000,42.0,2.0,59.3399318,17.9295482,59.3324,18.0645,7.698725674108142
Nysättravägen 19,23566.87898089172,True,Brunnsäng,True,9.0,"Brunnsäng,Södertälje",5658.0,Södertälje kommun,False,1850000,78.5,3.0,59.2104469,18.050135,59.3324,18.0645,13.585105907202381
Lagmansbacken 7,38333.333333333336,True,Alby,True,1.0,"Alby,Botkyrka",2663.0,Botkyrka kommun,False,1150000,30.0,1.0,59.240191949999996,17.844887149999998,59.3324,18.0645,16.145760438922625
Hovstagränd 3,36293.706293706295,True,Hagsätra,True,1.0,"Hagsätra,Stockholm",6051.0,Stockholms kommun,False,2595000,71.5,3.5,59.2653796,18.019468987114543,59.3324,18.0645,7.878629560512807
Sandfjärdsgatan 98,39668.87417218543,False,Årsta,True,9.0,"Årsta,Stockholm",5673.0,Stockholms kommun,False,2995000,75.5,3.5,59.2927361,18.0505012,59.3324,18.0645,4.481399238203338
Sysslomansgatan 11,103421.05263157896,True,Kungsholmen,True,6.0,"Kungsholmen,Stockholm",2279.0,Stockholms kommun,False,3930000,38.0,1.5,59.3308045,18.024758,59.3324,18.0645,2.2610195586467716
Vega Allé 94,44301.07526881721,True,Vega,True,4.0,"Vega,Haninge",6720.0,Haninge kommun,False,4120000,93.0,4.0,59.1853235,18.1335545,59.3324,18.0645,16.8185525054339
Hästholmsvägen 33,64462.36559139785,True,Saltsjöqvarn,True,4.0,"Saltsjöqvarn,Nacka",5597.0,Nacka kommun,False,5995000,93.0,3.0,59.311625,18.1066603,59.3324,18.0645,3.325288612646854
Tavelsjövägen 20,57413.79310344828,False,Årsta,False,1.0,"Årsta,Stockholm",4567.0,Stockholms kommun,False,3330000,58.0,2.0,59.2991272,18.0377155,59.3324,18.0645,3.9997753158694405
Skarpövägen 19,45135.13513513513,True,Orminge,True,2.0,"Orminge,Nacka",2193.0,Nacka kommun,False,1670000,37.0,1.5,59.33285145,18.26165735,59.3324,18.0645,11.181952678909203
Runiusgatan 9,76111.11111111111,False,Kungsholmen,True,2.0,"Kungsholmen,Stockholm",3093.0,Stockholms kommun,False,5480000,72.0,3.0,59.3293605,18.008302,59.3324,18.0645,3.205320110187176
Polhemsgatan 18B,99622.64150943396,False,Kungsholmen,False,1.0,"Kungsholmen,Stockholm",3379.0,Stockholms kommun,False,5280000,53.0,2.0,59.3287154,18.0357035,59.3324,18.0645,1.6839055764600959
Beckomberga Ängsväg 22,55642.857142857145,True,Bromma,True,4.0,"Bromma,Stockholm",4908.0,Stockholms kommun,False,3895000,70.0,3.0,59.3570944,17.898936671639433,59.3324,18.0645,9.780013208648253
Warfvinges väg 15,83406.59340659341,True,Kungsholmen,False,1.0,"Kungsholmen,Stockholm",3722.0,Stockholms kommun,False,3795000,45.5,2.0,59.3368706,18.0131296,59.3324,18.0645,2.955423986793969
Rörstrandsgatan 18,127872.34042553192,True,Vasastan,True,5.0,"Vasastan,Stockholm",1955.0,Stockholms kommun,False,6010000,47.0,2.0,59.340258,18.0328574,59.3324,18.0645,1.9958542195004458
Beckombergavägen 215,47539.68253968254,True,Bromma,True,5.0,"Bromma,Stockholm",4773.0,Stockholms kommun,False,2995000,63.0,2.0,59.35531805,17.900805855168763,59.3324,18.0645,9.624406533060645
Sylvangatan 5,75689.6551724138,True,Haga Norra,True,2.0,"Haga Norra,Solna",2279.0,Solna kommun,False,2195000,29.0,1.0,59.3649,18.0167427,59.3324,18.0645,4.515444582874219
Wiboms väg 2,50679.61165048544,True,Västra Skogen,True,3.0,"Västra Skogen,Solna",6828.0,Solna kommun,False,5220000,103.0,4.0,59.34833515,17.99651745,59.3324,18.0645,4.242515613445362
Hagalundsgatan 30,43771.929824561405,True,Hagalund,True,8.0,"Hagalund,Solna",2592.0,Solna kommun,False,2495000,57.0,2.0,59.3615588,18.0141669,59.3324,18.0645,4.3191163365276175
Inedalsgatan 15,182142.85714285716,True,Kungsholmen,True,1.0,"Kungsholmen,Stockholm",1336.0,Stockholms kommun,False,2550000,14.0,1.0,59.3354144,18.0360942,59.3324,18.0645,1.6454839952623046
Ölandsgatan 44,109800.0,False,Södermalm,True,1.0,"Södermalm,Stockholm",1665.0,Stockholms kommun,False,2745000,25.0,1.0,59.3086634,18.0772854,59.3324,18.0645,2.737254479791621
Tantogatan 43,88941.17647058824,False,Södermalm Högalid,True,9.0,"Södermalm Högalid,Stockholm",2520.0,Stockholms kommun,False,3780000,42.5,2.0,59.3106102,18.0485332,59.3324,18.0645,2.5867156837750582
Centralvägen 10,36633.66336633663,True,Vallentuna Centrum,False,2.0,"Vallentuna Centrum,Vallentuna",3764.0,Vallentuna kommun,False,1850000,50.5,2.0,59.5206844,17.9068164,59.3324,18.0645,22.75661552205202
Bollmora Gårdsväg 9,40000.0,True,Centrala Tyresö,True,2.0,"Centrala Tyresö,Tyresö",6996.0,Tyresö kommun,False,4160000,104.0,4.0,59.2473126,18.2208449,59.3324,18.0645,12.974598658803666
Tussmötevägen 120B,70641.02564102564,True,Svedmyra,True,2.0,"Svedmyra,Stockholm",6520.0,Stockholms kommun,False,5510000,78.0,3.0,59.2801401,18.0501357,59.3324,18.0645,5.867952194662434
Klädesvägen 38,57900.0,True,Bromma,True,3.0,"Bromma,Stockholm",4207.0,Stockholms kommun,False,2895000,50.0,2.0,59.338381299999995,17.944627046130684,59.3324,18.0645,6.830536931326746
Hövdingagatan 5A,71339.28571428571,True,Aspudden,False,4.0,"Aspudden,Stockholm",4120.0,Stockholms kommun,False,3995000,56.0,3.0,59.30675,17.9963204,59.3324,18.0645,4.806100929635358
Grafikvägen 30,63510.63829787234,False,Gullmarsplan,True,1.0,"Gullmarsplan,Stockholm",5151.0,Stockholms kommun,True,5970000,94.0,4.0,59.2971682,18.0762977,59.3324,18.0645,3.974386551285176
Källtorpsvägen 11,54756.09756097561,True,Näsbypark,True,4.0,"Näsbypark,Täby",5625.0,Täby kommun,False,4490000,82.0,4.0,59.1901883,18.186723829166667,59.3324,18.0645,17.271702483704946
Luntmakargatan 74,131315.7894736842,False,Vasastan,False,1.0,"Vasastan,Stockholm",1140.0,Stockholms kommun,False,2495000,19.0,1.0,59.3421186,18.0590066,59.3324,18.0645,1.1246630852402648
Oppundavägen 6,62714.28571428572,False,Enskede,False,1.0,"Enskede,Stockholm",2130.0,Stockholms kommun,False,2195000,35.0,1.0,59.2724451,18.069138,59.3324,18.0645,6.671877373780172
Floragatan 10,148518.5185185185,False,Östermalm,True,6.0,"Östermalm,Stockholm",549.0,Stockholms kommun,False,4010000,27.0,1.0,59.3425063,18.0758912,59.3324,18.0645,1.2961970199010457
Sågargatan 14,130000.0,False,Södermalm,True,4.0,"Södermalm,Stockholm",1391.0,Stockholms kommun,False,2730000,21.0,1.0,59.3142078,18.0912741,59.3324,18.0645,2.529655732142675
Hornsgatan 180,110000.0,True,Södermalm Högalid,True,5.0,"Södermalm Högalid,Stockholm",3009.0,Stockholms kommun,False,3850000,35.0,1.5,59.3152179,18.0324437,59.3324,18.0645,2.6376868496399757
Vega Allé 96,49875.0,True,Vega,True,4.0,"Vega,Haninge",3200.0,Haninge kommun,False,1995000,40.0,2.0,59.1851119,18.1332536,59.3324,18.0645,16.83745778345292
Månadsvägen 25,28906.25,True,Jakobsberg,False,3.0,"Jakobsberg,Järfälla",5265.0,Järfälla kommun,False,1850000,64.0,3.0,59.4235738,17.8221112,59.3324,18.0645,17.066334370030507
Kyrkogårdsvägen 55,71190.47619047618,False,Enskede,False,2.0,"Enskede,Stockholm",2749.0,Stockholms kommun,False,2990000,42.0,1.0,59.283221,18.0983225,59.3324,18.0645,5.795608412199251
Vattenkvarnsgatan 3,49218.75,True,Jakobsberg,True,2.0,"Jakobsberg,Järfälla",2915.0,Järfälla kommun,False,1575000,32.0,1.0,59.4163067,17.8288016,59.3324,18.0645,16.288197344383857
Vega Allé 49,51470.58823529412,True,Vega,True,3.0,"Vega,Haninge",2935.0,Haninge kommun,False,1750000,34.0,1.0,59.185222,18.1368553,59.3324,18.0645,16.874269419418432
Islinge Hamnväg 11,68137.25490196078,True,Torsvik,False,2.0,"Torsvik,Lidingö",4384.0,Lidingö kommun,False,6950000,102.0,3.0,59.3682777,18.1186563,59.3324,18.0645,5.033853857069186
Optikvägen 13,89436.61971830986,True,Dalénum,True,4.0,"Dalénum,Lidingö",4798.0,Lidingö kommun,False,6350000,71.0,3.0,59.3438265,18.1564008,59.3324,18.0645,5.3639937099481845
Lidköpingsvägen 31,72375.0,True,Hammarbyhöjden,False,3.0,"Hammarbyhöjden,Stockholm",3210.0,Stockholms kommun,False,2895000,40.0,2.0,59.2924696,18.0986053,59.3324,18.0645,4.84355769269764
Johannesbergsgatan 4,85937.5,True,Midsommarkransen,False,4.0,"Midsommarkransen,Stockholm",3232.0,Stockholms kommun,False,2750000,32.0,1.0,59.3004974,18.0112682,59.3324,18.0645,4.659130213824021
Jakobsdalsvägen 27,68837.20930232559,True,Sicklaön,True,4.0,"Sicklaön,Nacka",4981.0,Nacka kommun,False,5920000,86.0,3.0,59.31662655,18.162704695073053,59.3324,18.0645,5.840612794656311
Fatburstrappan 14,81818.18181818182,True,Södermalm,False,1.0,"Södermalm,Stockholm",6501.0,Stockholms kommun,False,6750000,82.5,3.0,59.3148452,18.070028703948367,59.3324,18.0645,1.9770421700000063
Barkarbyvägen 66,44795.91836734694,True,Barkarbystaden,True,3.0,"Barkarbystaden,Järfälla",3789.0,Järfälla kommun,False,2195000,49.0,2.0,59.4147066,17.8672019,59.3324,18.0645,14.445444974023186
Tantogatan 27,67894.73684210527,True,Södermalm,True,5.0,"Södermalm,Stockholm",5563.0,Stockholms kommun,False,6450000,95.0,3.0,59.3110469,18.0493168,59.3324,18.0645,2.5257814825894815
Responsgatan 12,63478.260869565216,True,Hägersten-Liljeholmen,True,4.0,"Hägersten-Liljeholmen,Stockholm",3135.0,Stockholms kommun,False,2920000,46.0,2.0,59.2978195,18.0034004,59.3324,18.0645,5.177446460361287
Majorsvägen 9A,39698.79518072289,True,Barkarbystaden,True,1.0,"Barkarbystaden,Järfälla",6360.0,Järfälla kommun,False,3295000,83.0,3.0,59.4162342,17.8723251,59.3324,18.0645,14.331808701372854
Viggengatan 12,43939.393939393936,True,Barkarbystaden,True,3.0,"Barkarbystaden,Järfälla",5830.0,Järfälla kommun,False,2900000,66.0,3.0,59.41199545,17.866219229591515,59.3324,18.0645,14.300389567455335
Åkerhielmsgatan 24,63230.769230769234,False,Bromma,True,2.0,"Bromma,Stockholm",4786.0,Stockholms kommun,False,4110000,65.0,2.0,59.3375982,17.9698635,59.3324,18.0645,5.39800069942375
Maria Skolgata 87,109629.62962962964,False,Stockholm Södermalm,True,2.0,"Stockholm Södermalm,Stockholm",2447.0,Stockholms kommun,False,2960000,27.0,1.0,59.3147521,18.0532864,59.3324,18.0645,2.0628947238014983
Kavallerigatan 70,26904.761904761905,True,Centrala Väsby,False,2.0,"Centrala Väsby,Upplands Väsby",3849.0,Upplands Väsby kommun,False,1695000,63.0,2.0,59.515682,17.9139541,59.3324,18.0645,22.087436931490647
Vendelsö Skolväg 20,28985.50724637681,False,Vendelsö,False,2.0,"Vendelsö,Haninge",4457.0,Haninge kommun,False,2000000,69.0,3.0,59.1986525,18.1891094,59.3324,18.0645,16.471826291868133
Ektorpsvägen 11,49401.7094017094,True,Ektorp,True,6.0,"Ektorp,Nacka",8223.0,Nacka kommun,False,5780000,117.0,5.0,59.31257895,18.1984707413845,59.3324,18.0645,7.913571029958141
Rissnavägen 69,29537.03703703704,True,Spånga,True,2.0,"Spånga,Stockholm",4472.0,Stockholms kommun,False,1595000,54.0,2.0,59.3793891,17.9163463,59.3324,18.0645,9.889731761599567
Heliosgatan 16A,75259.74025974025,True,Hammarby Sjöstad,True,5.0,"Hammarby Sjöstad,Stockholm",4802.0,Stockholms kommun,False,5795000,77.0,3.0,59.302468,18.0955157,59.3324,18.0645,3.764913027243474
Vibyholmsvägen 33,47192.98245614035,True,Örby,False,2.0,"Örby,Stockholm",3518.0,Stockholms kommun,False,2690000,57.0,2.0,59.279621,18.0325479,59.3324,18.0645,6.142591261611438
Ymsenvägen 1,71759.25925925926,False,Årsta,False,4.0,"Årsta,Stockholm",5657.0,Stockholms kommun,False,7750000,108.0,5.0,59.2989942,18.0668589,59.3324,18.0645,3.716966355766578
Kungsklippan 14,107333.33333333331,True,Kungsholmen,True,7.0,"Kungsholmen,Stockholm",3431.0,Stockholms kommun,False,3220000,30.0,1.0,59.3303957,18.0480441,59.3324,18.0645,0.9595755994659071
Veckovägen 27,35333.333333333336,False,Jakobsberg,True,3.0,"Jakobsberg,Järfälla",3337.0,Järfälla kommun,False,1590000,45.0,2.0,59.423744,17.8239696,59.3324,18.0645,16.993053246878826
Östrandsvägen 78,52708.333333333336,True,Stureby,False,1.0,"Stureby,Stockholm",4420.0,Stockholms kommun,False,3795000,72.0,3.0,59.2827875,18.0464627,59.3324,18.0645,5.610844144270945
Målarprinsens väg 9,48095.23809523809,False,Tyresö Strand,False,1.0,"Tyresö Strand,Tyresö",4499.0,Tyresö kommun,True,3030000,63.0,2.0,59.24330355,18.2834168547399,59.3324,18.0645,15.89690987561104
Finnboda Parkväg 20B,71688.31168831169,True,Finnboda,True,3.0,"Finnboda,Nacka",4991.0,Nacka kommun,False,5520000,77.0,3.0,59.3137845,18.1233795,59.3324,18.0645,3.9296743087362804
Lövgatan 55,68068.18181818182,False,Råsunda,False,1.0,"Råsunda,Solna",2838.0,Solna kommun,False,2995000,44.0,2.0,59.3642461,17.9790401,59.3324,18.0645,6.000846506495228
Fornhöjdsvägen 52,21857.92349726776,True,Fornhöjden,True,3.0,"Fornhöjden,Södertälje",7768.0,Södertälje kommun,False,2000000,91.5,5.0,59.1949205,17.6625395,59.3324,18.0645,27.48669316132764
Alpvägen 10,64912.28070175439,False,Bromma,True,3.0,"Bromma,Stockholm",3215.0,Stockholms kommun,False,1850000,28.5,1.0,59.3623304,17.9541782,59.3324,18.0645,7.08460233585471
Vendelsö Skolväg 7,28333.33333333333,True,Vendelsö,True,2.0,"Vendelsö,Haninge",4924.0,Haninge kommun,False,2380000,84.0,3.0,59.198976900000005,18.19234114629768,59.3324,18.0645,16.519189105944708
Tulegatan 27A,91153.84615384616,True,Sundbyberg Centrum,True,4.0,"Sundbyberg Centrum,Sundbyberg",2064.0,Sundbybergs kommun,False,2370000,26.0,1.0,59.3464627,18.0581579,59.3324,18.0645,1.6045213109679137
Lingvägen 99,51166.66666666666,True,Gubbängen,False,3.0,"Gubbängen,Stockholm",3166.0,Stockholms kommun,False,3070000,60.0,3.0,59.2633249,18.0836211,59.3324,18.0645,7.757135907894249
Hökens gata 9,116336.20689655172,False,Katarina,True,4.0,"Katarina,Stockholm",10562.0,Stockholms kommun,False,13495000,116.0,5.0,59.3181704,18.0732121,59.3324,18.0645,1.6576472459474854
Kolmårdsvägen 49,63846.15384615384,False,Killinge,False,1.0,"Killinge,Lidingö",2500.0,Lidingö kommun,False,1660000,26.0,1.0,59.3526036,18.2141289,59.3324,18.0645,8.776189974312109
Seglatsgatan 4,115320.51282051284,True,Hammarby Sjöstad,True,8.0,"Hammarby Sjöstad,Stockholm",5052.0,Stockholms kommun,False,8995000,78.0,3.0,59.3049673,18.0895782,59.3324,18.0645,3.365924823676033
Skattungsvägen 14,56052.63157894737,True,Årsta,False,1.0,"Årsta,Stockholm",4365.0,Stockholms kommun,False,3195000,57.0,3.0,59.2972642,18.0402629,59.3324,18.0645,4.141930790379668
Lundagatan 36B,95000.0,False,Södermalm Högalid,True,2.0,"Södermalm Högalid,Stockholm",1610.0,Stockholms kommun,False,2850000,30.0,1.0,59.3188973,18.0463138,59.3324,18.0645,1.8217011467366278
Ruddammsvägen 4,89900.0,True,Östermalm,True,3.0,"Östermalm,Stockholm",2629.0,Stockholms kommun,False,4495000,50.0,2.0,59.3495901,18.0641132,59.3324,18.0645,1.911577729230591
Bansjövägen 22,33693.69369369369,False,Trollbäcken,False,1.0,"Trollbäcken,Tyresö",6782.0,Tyresö kommun,True,3740000,111.0,4.0,59.2232245,18.2277356,59.3324,18.0645,15.276127205427896
Fredsgatan 15,68928.57142857143,True,Sundbyberg/Duvbo,True,3.0,"Sundbyberg/Duvbo,Sundbyberg",2758.0,Sundbybergs kommun,False,2895000,42.0,1.5,59.3659273,17.9635873,59.3324,18.0645,6.82808199991696
Baltzar von Platens gata 7B,100909.09090909093,False,Kungsholmen,True,2.0,"Kungsholmen,Stockholm",1122.0,Stockholms kommun,False,4995000,49.5,2.0,59.3294953,18.0311252,59.3324,18.0645,1.920313657513555
Cedergrensvägen 40,73529.41176470589,False,Midsommarkransen,False,2.0,"Midsommarkransen,Stockholm",4232.0,Stockholms kommun,False,3750000,51.0,3.0,59.3010641,17.9983564,59.3324,18.0645,5.121213865536332
Elsa Borgs gata 70,70185.18518518518,False,Fruängen,False,1.0,"Fruängen,Stockholm",2279.0,Stockholms kommun,False,1895000,27.0,1.0,59.283261,17.9650522,59.3324,18.0645,7.855814366672805
Bastuhagsvägen 49,68356.16438356164,True,Enskede,True,3.0,"Enskede,Stockholm",2395.0,Stockholms kommun,False,2495000,36.5,2.0,59.2753948,18.046780029990842,59.3324,18.0645,6.41799806643136
Wiboms väg 25,56067.41573033708,False,Västra Skogen,True,3.0,"Västra Skogen,Solna",3176.0,Solna kommun,False,2495000,44.5,1.0,59.3484653,17.9972167,59.3324,18.0645,4.212632619677312
Råstensgatan 1B,66583.33333333333,True,Centrala Sundbyberg,True,5.0,"Centrala Sundbyberg,Sundbyberg",4623.0,Sundbybergs kommun,False,3995000,60.0,2.0,59.3622017,17.9729934,59.3324,18.0645,6.155671037802762
Götaforsvägen 34,50000.0,True,Stureby,False,1.0,"Stureby,Stockholm",3813.0,Stockholms kommun,False,2250000,45.0,1.0,59.2699791,18.0569205,59.3324,18.0645,6.9542110449759305
Rågsvedsvägen 93,25958.90410958904,True,Rågsved,True,3.0,"Rågsved,Stockholm",5754.0,Stockholms kommun,False,1895000,73.0,3.0,59.2556197,18.0198097,59.3324,18.0645,8.906693723706828
Centrumvägen 5C,13026.315789473683,False,Älmsta,False,2.0,"Älmsta,Norrtälje",2654.0,Norrtälje kommun,False,495000,38.0,1.0,59.4778897,17.7486477,59.3324,18.0645,24.109060694412147
Midsommarvägen 41,82785.71428571429,True,Midsommarkransen,True,4.0,"Midsommarkransen,Stockholm",3336.0,Stockholms kommun,False,5795000,70.0,2.0,59.2995504,18.0056462,59.3324,18.0645,4.949228376752209
Härnevi Skolväg 9,30948.275862068964,False,Gamla Bro,True,1.0,"Gamla Bro,Upplands-Bro",4254.0,Upplands-Bro kommun,False,1795000,58.0,3.0,59.51257325,17.634110597810896,59.3324,18.0645,31.52858576243262
Trädgårdsgatan 5,86739.13043478261,True,Centrala Sundbyberg Lilla Alby,False,2.0,"Centrala Sundbyberg Lilla Alby,Sundbyberg",2235.0,Sundbybergs kommun,False,1995000,23.0,1.0,59.3254021,18.0718356,59.3324,18.0645,0.8823921224433394
Huvudstagatan 1D,68048.78048780488,True,Fristaden,True,2.0,"Fristaden,Solna",3056.0,Solna kommun,False,2790000,41.0,1.0,59.3514239,17.9966992,59.3324,18.0645,4.3878632614721935
Birgittavägen 25,28750.0,False,Jakobsberg,True,6.0,"Jakobsberg,Järfälla",5624.0,Järfälla kommun,False,2070000,72.0,2.0,59.423165100000006,17.84476269314159,59.3324,18.0645,16.023766076673887
Sannadalsvägen 30,84696.9696969697,True,Gröndal,False,3.0,"Gröndal,Stockholm",2566.0,Stockholms kommun,False,2795000,33.0,2.0,59.3150037,18.012933,59.3324,18.0645,3.507112109925759
Västgötagatan 17,110972.22222222222,True,Södermalm,True,8.0,"Södermalm,Stockholm",2260.0,Stockholms kommun,False,3995000,36.0,1.0,59.3119675,18.0719179,59.3324,18.0645,2.3106372820001724
Minervavägen 28,63800.0,False,Sollentuna Häggvik,True,2.0,"Sollentuna Häggvik,Sollentuna",2175.0,Sollentuna kommun,False,1595000,25.0,1.0,59.4473628,17.9342235,59.3324,18.0645,14.758749046831966
Sankt Eriksgatan 16A,94459.45945945944,True,Kungsholmen,False,2.0,"Kungsholmen,Stockholm",2553.0,Stockholms kommun,False,3495000,37.0,2.0,59.3295903,18.029418,59.3324,18.0645,2.0141608712568484
Trubadurvägen 1,66938.77551020408,False,Västra Skogen,True,2.0,"Västra Skogen,Solna",3211.0,Solna kommun,False,3280000,49.0,2.0,59.3517256,18.0053343,59.3324,18.0645,3.9839199358867066
Folkungagatan 160,79431.81818181818,True,Södermalm,True,4.0,"Södermalm,Stockholm",3759.0,Stockholms kommun,False,3495000,44.0,2.0,59.3153103,18.0936746,59.3324,18.0645,2.519992960059198
Råsundavägen 26,53362.06896551724,True,Haga Norra,True,3.0,"Haga Norra,Solna",3995.0,Solna kommun,False,3095000,58.0,2.0,59.3635233,18.0172402,59.3324,18.0645,4.376600123409967
Tussmötevägen 120E,75438.59649122808,True,Enskede,True,2.0,"Enskede,Stockholm",2894.0,Stockholms kommun,False,2150000,28.5,1.0,59.2801401,18.0501357,59.3324,18.0645,5.867952194662434
Lidnersplan 16,93636.36363636365,True,Kungsholmen,True,2.0,"Kungsholmen,Stockholm",2401.0,Stockholms kommun,False,4120000,44.0,1.5,59.3357749,17.9978291,59.3324,18.0645,3.7996763301889036
Nybodagatan 4,44600.0,True,Skytteholm,True,2.0,"Skytteholm,Solna",6341.0,Solna kommun,False,4460000,100.0,3.0,59.3559456,17.99222243606591,59.3324,18.0645,4.862829218279581
Ålgrytevägen 120,59552.23880597015,True,Skärholmen,True,8.0,"Skärholmen,Stockholm",2117.0,Stockholms kommun,False,1995000,33.5,1.0,59.2987046,17.9288254,59.3324,18.0645,8.562013613543677
Konstgjutarvägen 6,72978.72340425532,True,Gullmarsplan,False,3.0,"Gullmarsplan,Stockholm",2150.0,Stockholms kommun,False,3430000,47.0,2.0,59.2957785,18.0786924,59.3324,18.0645,4.151001788832826
Kruthornsvägen 26,30227.272727272728,True,Edsberg,False,2.0,"Edsberg,Sollentuna",4736.0,Sollentuna kommun,False,1995000,66.0,3.0,59.4455066,17.975565,59.3324,18.0645,13.547517459606064
Filipstadsbacken 62,38629.03225806452,True,Farsta,True,3.0,"Farsta,Stockholm",4130.0,Stockholms kommun,False,2395000,62.0,3.0,59.2378281,18.1054435,59.3324,18.0645,10.769949623168076
Rosenhöjdsvägen 24,18452.380952380958,True,Rosenlund,True,4.0,"Rosenlund,Södertälje",6268.0,Södertälje kommun,False,1550000,84.0,3.0,59.1984291,17.65526541065765,59.3324,18.0645,27.617822088508163
Ölandsgatan 46,99814.81481481482,False,Stockholm Södermalm,True,1.0,"Stockholm Södermalm,Stockholm",1799.0,Stockholms kommun,False,2695000,27.0,1.0,59.3087107,18.0776341,59.3324,18.0645,2.737502170842714
Tulegatan 22,140909.0909090909,False,Vasastan,True,4.0,"Vasastan,Stockholm",1388.0,Stockholms kommun,False,3100000,22.0,1.0,59.3455894,18.0591979,59.3324,18.0645,1.4970944668736446
Örby Slottsväg 46,55102.5641025641,True,Örby Slott,True,2.0,"Örby Slott,Stockholm",2844.0,Stockholms kommun,False,2149000,39.0,1.0,59.2801021,18.0336908,59.3324,18.0645,6.072499282143919
Torbjörn Klockares gata 6,95119.04761904762,True,Vasastan,False,1.0,"Vasastan,Stockholm",2045.0,Stockholms kommun,False,3995000,42.0,1.5,59.3445673,18.0337607,59.3324,18.0645,2.206538240536137
Pipersgatan 16,104642.85714285714,False,Kungsholmen,True,3.0,"Kungsholmen,Stockholm",3098.0,Stockholms kommun,False,2930000,28.0,1.0,59.3306318,18.0459074,59.3324,18.0645,1.0726926768714842
Kungsklippan 12,107741.93548387096,True,Kungsholmen,True,5.0,"Kungsholmen,Stockholm",3519.0,Stockholms kommun,False,3340000,31.0,1.5,59.3303623,18.0484181,59.3324,18.0645,0.939845169085623
Sankt Göransgatan 146,91818.18181818182,True,Kungsholmen,True,3.0,"Kungsholmen,Stockholm",1896.0,Stockholms kommun,False,3030000,33.0,2.0,59.3378528,18.0156741,59.3324,18.0645,2.834579431559172
Ystadsvägen 81,59038.46153846154,True,Björkhagen,False,1.0,"Björkhagen,Stockholm",3741.0,Stockholms kommun,False,3070000,52.0,2.0,59.2896948,18.1116677,59.3324,18.0645,5.451113177886746
Ringvägen 127A,97192.98245614037,False,Södermalm,True,3.0,"Södermalm,Stockholm",2329.0,Stockholms kommun,False,5540000,57.0,2.0,59.3102632,18.0866426,59.3324,18.0645,2.7635350576973914
Flygfältsvägen 13,37238.80597014925,True,Barkarbystaden,True,3.0,"Barkarbystaden,Järfälla",6290.0,Järfälla kommun,False,2495000,67.0,3.0,59.4110586,17.8671486,59.3324,18.0645,14.19477018767187
Hanvedens Allé 87,34666.666666666664,True,Riksten,True,1.0,"Riksten,Botkyrka",4833.0,Botkyrka kommun,False,2600000,75.0,3.0,59.18106075,17.915536370055392,59.3324,18.0645,18.838340393960383
Rådmansgatan 76C,116025.64102564105,True,Vasastan,True,1.0,"Vasastan,Stockholm",975.0,Stockholms kommun,False,9050000,78.0,3.0,59.3401551,18.0578227,59.3324,18.0645,0.9418046734699501
Ernst Ahlgrens väg 10,96176.4705882353,False,Kungsholmen Fredhäll,False,3.0,"Kungsholmen Fredhäll,Stockholm",2172.0,Stockholms kommun,False,3270000,34.0,1.0,59.3305771,18.0044958,59.3324,18.0645,3.409302697158446
Garvar Lundins gränd 9,110655.73770491804,True,Kungsholmen,True,3.0,"Kungsholmen,Stockholm",3891.0,Stockholms kommun,False,6750000,61.0,2.0,59.3276319,18.0436257,59.3324,18.0645,1.297273046593449
Albatrossvägen 52,24945.652173913044,True,Vendelsömalm,False,3.0,"Vendelsömalm,Haninge",6129.0,Haninge kommun,False,2295000,92.0,4.0,59.1766415,18.1786807,59.3324,18.0645,18.495826969826705
Stationsvägen 54,54375.0,True,Näsby,True,1.0,"Näsby,Täby",4857.0,Täby kommun,False,2610000,48.0,2.0,59.4361591,18.0575108,59.3324,18.0645,11.544272295993284
Brännkyrkagatan 87,87974.6835443038,True,Södermalm,True,5.0,"Södermalm,Stockholm",3956.0,Stockholms kommun,False,6950000,79.0,3.0,59.3181023,18.0516648,59.3324,18.0645,1.748630852241667
Brahegatan 48,173695.65217391303,True,Östermalm,True,5.0,"Östermalm,Stockholm",949.0,Stockholms kommun,False,3995000,23.0,1.0,59.3417637,18.0794573,59.3324,18.0645,1.3429545773706706
Sidensvansvägen 67,44044.117647058825,True,Sjöberg,True,6.0,"Sjöberg,Sollentuna",4621.0,Sollentuna kommun,False,2995000,68.0,2.0,59.429005700000005,17.992277986492773,59.3324,18.0645,11.494452083428303
Storskärsgatan 6,118648.64864864864,False,Gärdet,True,5.0,"Gärdet,Stockholm",1764.0,Stockholms kommun,False,4390000,37.0,2.0,59.3419102,18.0959404,59.3324,18.0645,2.0729356298255905
Grevgatan 57,132162.16216216216,True,Östermalm,False,3.0,"Östermalm,Stockholm",2399.0,Stockholms kommun,False,4890000,37.0,1.0,59.3375241,18.0872843,59.3324,18.0645,1.412176621742055
Boforsgatan 9,35353.98230088496,True,Farsta,True,7.0,"Farsta,Stockholm",6557.0,Stockholms kommun,False,3995000,113.0,6.0,59.2372857,18.0938736,59.3324,18.0645,10.706994369110202
