Address,Amt per m²,Balcony,District,Elevator,Floor,Location,Monthly Pay,Municipality,Patio,Price,Size in m²,Total Rooms,Latitude,Longitude,lat_2,long_2,Distance
Vårholmsbackarna 88,26768.29268292683,True,Vårberg,False,1.0,"Vårberg,Stockholm",5887.0,Stockholms kommun,False,2195000,82.0,3.0,59.2794094,17.9018838,59.3324,18.0645,10.950496874993714
Flyginfarten 14A,74782.60869565218,True,Barkarbystaden,False,3.0,"Barkarbystaden,Järfälla",1507.0,Järfälla kommun,False,1720000,23.0,1.0,59.4180326,17.855346,59.3324,18.0645,15.199554869333829
Roslagsgatan 19A,116379.31034482758,True,Vasastan Sibirien,False,3.0,"Vasastan Sibirien,Stockholm",3395.0,Stockholms kommun,False,13500000,116.0,4.0,59.3439749,18.0624565,59.3324,18.0645,1.2922760866587668
Gaffelseglet 39,46029.41176470588,True,Vega,True,4.0,"Vega,Haninge",4582.0,Haninge kommun,False,3130000,68.0,3.0,59.181896300000005,18.136441229574913,59.3324,18.0645,17.227601126068617
Starrbäcksgatan 9D,66538.46153846153,True,Centrala,True,2.0,"Centrala,Sundbyberg",3943.0,Sundbybergs kommun,False,5190000,78.0,3.0,59.3659917,17.9615767,59.3324,18.0645,6.927703725531821
Mittfältsgatan 13,63725.490196078434,True,Nya Råsunda,True,2.0,"Nya Råsunda,Solna",7204.0,Solna kommun,False,6500000,102.0,4.0,59.3626078,17.9959431,59.3324,18.0645,5.13689007440606
Gesundaplan 59,70634.92063492064,False,Bromma,False,2.0,"Bromma,Stockholm",3582.0,Stockholms kommun,False,4450000,63.0,3.0,59.338229,17.9806624,59.3324,18.0645,4.798476845313058
Solnavägen 29C,64074.07407407407,True,Solna Centrum,True,3.0,"Solna Centrum,Solna",3743.0,Solna kommun,False,3460000,54.0,2.0,59.3547452,18.0152887,59.3324,18.0645,3.73610166865423
Hästholmsvägen 17,77586.20689655172,True,Hammarby Sjöstad,True,5.0,"Hammarby Sjöstad,Stockholm",4089.0,Stockholms kommun,False,4500000,58.0,3.0,59.3127292,18.1047587,59.3324,18.0645,3.162393252486683
Fregattvägen 66,74750.0,False,Hägersten-Liljeholmen,False,1.0,"Hägersten-Liljeholmen,Stockholm",2328.0,Stockholms kommun,False,2990000,40.0,2.0,59.3136205,17.9978517,59.3324,18.0645,4.319358051047134
